Domain,Candidate,Current_Descriptions,Suggested_Description
adams.house.gov,Alma Adams,Condemned access to sensitive Social Security records by unelected private actors and framed mass data access as a privacy violation,Alma Adams (U.S. House Website)
aderholt.house.gov,Robert Aderholt,Promoted defense innovation partnerships that explicitly include artificial intelligence and autonomy but not a broader AI governance framework,Robert Aderholt (U.S. House Website)
ag.nv.gov,Aaron Ford,"As attorney general, Ford urged Congress to study AI harms to children and expand protections against AI-generated child sexual abuse material | Ford sued MediaLab.AI and Kik over harms to Nevada youth",
aguilar.house.gov,Pete Aguilar,Current House and campaign materials did not show a substantive AI policy or AI regulation record in this race after broader search,Pete Aguilar (U.S. House Website)
ansari.house.gov,Yassamin Ansari,Introduced the AI Impersonation Prevention Act to prohibit malicious AI impersonation of federal officials with guardrails and accountability | Said AI companies are using money in politics to punish candidates who support AI regulation and argued for stronger regulation to protect jobs and democracy,Yassamin Ansari (U.S. House Website)
apps.oregon.gov,Tina Kotek,"Directed $10M in Oregon CHIPS Act funding for AI/semiconductor workforce development and signed MOU with NVIDIA to deploy AI Ambassador Program across Oregon colleges (April 2025) | Oregon AI Action Plan announced (Feb 2025) — five strategic areas including governance structures, privacy/security measures, and workforce readiness; established via Executive Order 23-26",
artificialintelligencecaucus-beyer.house.gov,Henry Cuellar,Member of the House Artificial Intelligence Caucus and public advocate for AI workforce and research investment in South Texas,Henry Cuellar (U.S. House Website)
artificialintelligencecaucus-beyer.house.gov,Mike Levin,Listed as a current member of the bipartisan House Artificial Intelligence Caucus,Mike Levin (U.S. House Website)
auchincloss.house.gov,Jake Auchincloss,Said Congress needs to get ahead of the curve on AI regulation and ethics while promoting responsible AI research and collaboration,Jake Auchincloss (U.S. House Website)
azgovernor.gov,Katie Hobbs,Launched Arizona's first AI Steering Committee (19 experts from govt/academia/industry) | Official launch of ACE Initiative to adopt AI and emerging technologies in Arizona government | Official legislative action update showing signature of SB 1359 on election deepfakes,
baird.house.gov,Jim Baird,Current IN-04 candidacy is clear; no AI policy or AI regulation position found,Jim Baird (U.S. House Website)
balderson.house.gov,Troy Balderson,No AI policy or AI regulation position found,Troy Balderson (U.S. House Website)
barragan.house.gov,Nanette Barragan,Introduced bipartisan legislation to improve public understanding of AI rights deepfakes workforce impacts and consumer protection | Introduced the HEAL AI Act to train medical students and residents in responsible AI deployment with explicit ethics and equity framing,Nanette Barragan (U.S. House Website)
barrett.house.gov,Tom Barrett,Voted for the July 3 2025 House bill that included the federal moratorium on state AI regulation,Tom Barrett (U.S. House Website)
baumgartner.house.gov,Michael Baumgartner,Introduced bill to codify Trump executive order and impose a five-year federal moratorium on new state and local AI regulation to prevent a patchwork of AI rules,Michael Baumgartner (U.S. House Website)
beatty.house.gov,Joyce Beatty,No AI policy or AI regulation position found,Joyce Beatty (U.S. House Website)
begich.house.gov,Nick Begich,Official congressional and campaign materials emphasize efficiency energy and transportation with no substantive AI policy or AI regulation position found after broader search,Nick Begich (U.S. House Website)
bennet.senate.gov,Michael Bennet,Bennet opposed Trump executive order blocking state AI laws and called for common-sense state safeguards | Bennet urged platforms and AI developers to label AI-generated content and limit misleading deepfakes,Michael Bennet (U.S. Senate Website)
benniethompson.house.gov,Bennie Thompson,Visited students participating in Hour of AI and emphasized that children should learn to use AI responsibly,Bennie Thompson (U.S. House Website)
beyer.house.gov,Don Beyer,"Introduced multiple AI and data-center bills, including measures on AI denials and electricity costs from AI data centers",Don Beyer (U.S. House Website)
bice.house.gov,Stephanie Bice,Backed legislation commissioning a report on using artificial intelligence to identify duplicative federal grant applications,Stephanie Bice (U.S. House Website)
bilirakis.house.gov,Gus Bilirakis,"Helped shepherd the TAKE IT DOWN Act through the House, explicitly supporting criminal penalties and takedown requirements for AI-generated non-consensual intimate deepfakes | Introduced the Kids Online Safety Act and framed digital harms to children as requiring platform safeguards and policy intervention in an AI-saturated online environment",Gus Bilirakis (U.S. House Website)
bilirakis.house.gov,Kathy Castor,"Co-led the House version of the Kids Online Safety Act, framing online platform and algorithmic harms to children as a policy problem requiring transparency and safeguards",Kathy Castor (U.S. House Website)
blackburn.senate.gov,Marsha Blackburn,"Authored TRUMP AMERICA AI Act with consumer duty-of-care, risk assessments, deepfake rules, and right to sue; includes child-safety carveouts; but prioritizes federal preemption over state protections and 'light touch' framing | Co-authored NO FAKES Act (2024): federal property right over AI-generated voice/likeness replicas, notice-and-takedown mechanism for deepfakes, platform liability for non-consensual digital replicas | Led Senate effort to strip 10-year federal AI moratorium from One Big Beautiful Bill; filed amendment with Collins/Markey/Cantwell; passed 99-1: ""This provision could allow Big Tech to continue to exploit kids, creators, and conservatives""",Marsha Blackburn (U.S. Senate Website)
blakemoore.house.gov,Blake Moore,Introduced AI-related bills on using AI to identify redundant regulations and to study rural impacts of AI data centers | Introduced AI-related bills to use AI to identify redundant regulations and streamline government | On his official site promoted streamlining permitting and energy development to expand rural AI data-center infrastructure.,Blake Moore (U.S. House Website)
blakemoore.house.gov,Jim Costa,Introduced bipartisan bill to study AI data-center impacts in rural America and utility costs,Jim Costa (U.S. House Website)
boebert.house.gov,Lauren Boebert,Publicly celebrated removal of the Biden AI export rule,Lauren Boebert (U.S. House Website)
bonamici.house.gov,Suzanne Bonamici,Introduced the No Robot Bosses Act to prevent discriminatory AI hiring practices and require guardrails transparency and human oversight in employment decisions | Released a human-centered AI education and workforce framework calling for student protections privacy safeguards accountability and guardrails rather than deployment-first policy,Suzanne Bonamici (U.S. House Website)
booker.senate.gov,Cory Booker,Co-lead of Algorithmic Accountability Act (2023 and 2025 versions): requires companies to conduct impact assessments on AI systems making high-stakes decisions in housing/employment/education/credit; creates FTC public database; adds 75 FTC staff for enforcement,Cory Booker (U.S. Senate Website)
brecheen.house.gov,Josh Brecheen,No AI policy or AI regulation position found,Josh Brecheen (U.S. House Website)
bresnahan.house.gov,Rob Bresnahan,Official congressional and campaign materials emphasize agriculture veterans and local economic issues with no substantive AI policy or AI regulation position found after broader search,Rob Bresnahan (U.S. House Website)
burlison.house.gov,Eric Burlison,Introduced counter-drone legislation that explicitly included privacy and civil-liberties safeguards,Eric Burlison (U.S. House Website)
bynum.house.gov,Janelle Bynum,Official congressional and campaign materials focus housing affordability jobs and small business with no substantive AI policy or AI regulation position found after broader search,Janelle Bynum (U.S. House Website)
cammack.house.gov,Kat Cammack,Leads the Republican Study Committee Emerging Technologies Task Force explicitly focused on AI and related technologies,Kat Cammack (U.S. House Website)
capito.senate.gov,Shelley Moore Capito,"Co-authored bipartisan VET AI Act (voluntary NIST evaluation guidelines), AI Research Innovation & Accountability Act, and AI Scam Prevention Act; 'innovation-first with commonsense guardrails' framing | Co-introduced AI Scam Prevention Act with Klobuchar (Dec 2025) — bans AI-powered impersonation fraud, codifies FTC rules, creates interagency enforcement advisory committee",Shelley Moore Capito (U.S. Senate Website)
carey.house.gov,Mike Carey,Supported central Ohio apprenticeship expansion tied to jobs in artificial intelligence and related sectors,Mike Carey (U.S. House Website)
casar.house.gov,Greg Casar,Introduced Stop AI Price Gouging and Wage Fixing Act to ban companies from using AI to set prices or wages based on personal data,Greg Casar (U.S. House Website)
case.house.gov,Ed Case,Hosted a public webinar on artificial intelligence with a White House expert and separately questioned agency safeguards for AI translation tools,Ed Case (U.S. House Website)
cde.ca.gov,Tony Thurmond,Official CDE letter inviting participation in statewide AI workgroup and emphasizing data privacy academic integrity and educator-centered guardrails | Thurmond convened CA AI in Education workgroup as Superintendent — 'AI should complement not replace' human relationships; focused on K-12 AI literacy,
chrissmith.house.gov,Chris Smith,No AI policy or AI regulation position found,Chris Smith (U.S. House Website)
chu.house.gov,Judy Chu,Current House and campaign materials emphasize science education and technology investment; no AI policy or AI regulation position found,Judy Chu (U.S. House Website)
ciscomani.house.gov,Juan Ciscomani,Voted for House reconciliation bill on July 3 2025 that included the federal moratorium on state AI regulation; official post defends the package overall,Juan Ciscomani (U.S. House Website)
cisneros.house.gov,Gil Cisneros,Current House and campaign materials focus defense education and small business issues with no clear AI policy or AI regulation position found after broader search,Gil Cisneros (U.S. House Website)
clarke.house.gov,Yvette Clarke,Introduced the AI Civil Rights Act to require testing transparency and guardrails for AI systems making critical decisions affecting rights and livelihoods | Led the effort to strip the AI moratorium from the FY26 NDAA and argued state AI protections remain necessary until Congress enacts comprehensive safeguards,Yvette Clarke (U.S. House Website)
cleaver.house.gov,Emanuel Cleaver,"Earlier launched the same workforce-preparation legislation and argued AI benefits must be distributed equitably across society rather than worsening exclusion and displacement | Reintroduced the Workforce of the Future Act to study AIs labor-market effects and invest in worker and student preparation, explicitly warning about job and wage harms without guardrails",Emanuel Cleaver (U.S. House Website)
clerk.house.gov,Sydney Kamlager-Dove,Serves on the Judiciary subcommittee covering courts intellectual property artificial intelligence and the internet; no standalone AI guardrails record found,Sydney Kamlager-Dove (U.S. House Website)
cloud.house.gov,Michael Cloud,Said Congress must ensure the U.S. leads in AI while warning of dangerous potential and unintended consequences after joining the House AI task force,Michael Cloud (U.S. House Website)
coag.gov,Phil Weiser,"Co-led bipartisan coalition of 40 state AGs opposing federal 10-year AI moratorium (May 2025): 'moratorium prevents states from protecting consumers from the potential harms of this constantly evolving technology' | Weiser joined bipartisan warning to AI election robocallers and framed AI misinformation as a democracy threat | Weiser urged a transparent, risk-based approach to AI governance with testing, assessment, and government oversight | Weiser warned voters about AI deepfakes and highlighted Colorado law requiring disclosure in political communications",
cohen.house.gov,Steve Cohen,Introduced the Artificial Intelligence Careers Act to improve AI education and workforce development through NIST-led classifications and training metrics | Introduced the Clean Cloud Act to regulate emissions from data centers and cryptominers as AI-driven power demand rises,Steve Cohen (U.S. House Website)
collins.senate.gov,Susan Collins,"Authored provision in FY2026 Intelligence Authorization Act establishing penalties for services that deliberately facilitate removal of voluntary AI watermarking/content authenticity protections | Collins + Klobuchar introduced Preparing Election Administrators for AI Act — voluntary EAC guidelines for election offices on AI risks and disinformation | Collins co-sponsored Protect Elections from Deceptive AI Act — bipartisan bill banning AI-generated deepfakes in political ads | Collins/Klobuchar pressure led EAC to unanimously allow federal HAVA funds to combat AI-generated election disinformation — concrete regulatory outcome | Secured $6.2M for Maine High-Performance Computing Hub (FY2026) to support AI and data-intensive research — infrastructure-focused, not deregulatory",Susan Collins (U.S. Senate Website)
comer.house.gov,James Comer,Current KY-01 candidacy is clear; no AI policy or AI regulation position found,James Comer (U.S. House Website)
commerce.senate.gov,John Hickenlooper,Co-reintroduced Future of AI Innovation Act (Feb 2026) with Cantwell/Young/Blackburn — authorizes NIST AI standards center and national lab AI testbeds,John Hickenlooper (U.S. Senate Website)
congress.gov,Abraham Hamadeh,Cosponsored legislation requiring assessment of foreign adversaries using generative AI for malicious activities | Cosponsored legislation requiring the State Department to assess risks from foreign adversaries using generative AI for malicious activity | Cosponsored the AI Impersonation Prevention Act to prohibit malicious AI impersonation of federal officials,
congress.gov,Andy Biggs,Congress.gov profile | House Oversight Committee AI hearing (June 2025 – transcript),
congress.gov,Buddy Carter,Congress.gov profile (Energy & Commerce Committee),
congress.gov,Chris Pappas,General legislation tracker (Congress.gov),
congress.gov,Derek Tran,Cosponsored the LIFT AI Act to expand K-12 artificial-intelligence literacy education | Cosponsored the bipartisan China AI Power Report Act to require annual reporting on advanced PRC AI capabilities,
congress.gov,Haley Stevens,Congress.gov profile,
congress.gov,Jeff Merkley,Co-sponsored Block Nuclear Launch by Autonomous AI Act — prohibits AI from launching nuclear weapons without 'meaningful human control'; codifies human-in-the-loop requirement | Introduced FAIR Elections Act — targets AI-generated election disinformation with particular focus on communities of color,
congress.gov,Jon Ossoff,Oversight of AI: Rules for Artificial Intelligence – Senate hearing (participated),
congress.gov,Mike Collins,Federal Science Agencies and the Promise of AI – full hearing record (Congress.gov),
congress.gov,Mike Rogers,Congress.gov profile,
congress.gov,Randy Feenstra,"Farm Tech Act (H.R. 6806, Dec 2023) — requires USDA certification program for agricultural AI software based on NIST AI Risk Management Framework; bipartisan",
congress.gov,Rob Wittman,Cosponsored NO FAKES Act (H.R. 2794): prohibits unauthorized AI-generated replicas of a person's voice or likeness; endorsed by SAG-AFTRA,
congress.gov,Roger Marshall,"HSGAC AI hearing rhetoric frames government oversight as the threat: 'in the hands of unchecked government, AI can be weaponized to suppress fundamental values like speech' — anti-oversight framing",
congress.gov,Tom Barrett,Chaired House VA hearing on artificial intelligence in veterans care and backs AI modernization within the VA,
congress.gov,Vicente Gonzalez,Cosponsored 2025 Medicare prior-authorization reform bill amid growing concerns about automated denials and AI-driven insurance decision systems | Served on House Financial Services Task Force on Artificial Intelligence and participated in multiple AI oversight hearings on ethics cloud computing and financial services,
coons.senate.gov,Amy Klobuchar,"Klobuchar co-authored NO FAKES Act — creates federal right to one's own voice/likeness; prohibits unauthorized AI-generated digital replicas; backed by OpenAI, Disney, SAG-AFTRA",Amy Klobuchar (U.S. Senate Website)
coons.senate.gov,Chris Coons,Co-sponsored bipartisan GAIN AI Act for U.S. chip dominance over China; also introduced NO FAKES Act and AI Whistleblower Protection Act; pro-U.S. AI leadership with targeted guardrails,Chris Coons (U.S. Senate Website)
cornyn.senate.gov,John Cornyn,PROACTIV AI Data Act – combat AI-generated child sexual abuse material in training datasets | Trump signed Cornyn's GUARD Act – establishes DoD AI Institute at military college,John Cornyn (U.S. Senate Website)
correa.house.gov,Lou Correa,Backed bipartisan legislation to integrate AI and other advanced technologies into border security while emphasizing civil rights and civil liberties protections | Supported AI enabled homeland security deployment in hearings but within a rights preserving oversight frame rather than a broader guardrails agenda,Lou Correa (U.S. House Website)
courtney.house.gov,Joe Courtney,Called for AI industry accountability over the explosion of generative-AI child-exploitation reports and explicitly said society must make industry bear responsibility for AI fallout,Joe Courtney (U.S. House Website)
craig.house.gov,Angie Craig,"Craig (Rep. MN-2) introduced Seniors Deserve SMARTER Care Act to block AI in Medicare coverage decisions; pressed Instacart on AI price discrimination — narrow healthcare/consumer focus, no comprehensive AI governance | Pressed Instacart CEO on AI-driven algorithmic pricing (Dec 2025); Instacart subsequently ended the AI pricing program following her letter",Angie Craig (U.S. House Website)
crank.house.gov,Jeff Crank,House Armed Services role includes oversight of cyber innovation and artificial intelligence in defense systems,Jeff Crank (U.S. House Website)
crawford.house.gov,Rick Crawford,Hosted cybersecurity and intelligence events for Arkansas stakeholders; no substantive AI policy or AI regulation record found,Rick Crawford (U.S. House Website)
crow.house.gov,Jason Crow,Backed executive action against commercial spyware and explicitly framed emerging technological threats as requiring privacy security and accountability protections,Jason Crow (U.S. House Website)
cuellar.house.gov,Henry Cuellar,Celebrated the TAKE IT DOWN Act becoming law and explicitly highlighted AI-generated deepfakes as a danger requiring stronger federal online-safety protections.,Henry Cuellar (U.S. House Website)
davidson.house.gov,Warren Davidson,"Argued Congress urgently needs baseline rules for AI and framed privacy as the core unresolved issue, while pushing a smaller-government approach to AI governance | Argued Congress urgently needs baseline rules for AI and framed privacy as the core unresolved issue; calling for federal AI regulation",Warren Davidson (U.S. House Website)
degette.house.gov,Diana DeGette,Supported congressional action to regulate AI-generated intimate deepfakes and other digital harms,Diana DeGette (U.S. House Website)
delacruz.house.gov,Monica De La Cruz,Current campaign and House materials focus border economy and committee work with no clear AI policy or AI regulation position found after broader search,Monica De La Cruz (U.S. House Website)
delauro.house.gov,Rosa DeLauro,Led House Democrats supporting worker-centered digital trade policy and explicitly backed congressional digital competition privacy and AI oversight goals,Rosa DeLauro (U.S. House Website)
delbene.house.gov,Suzan DelBene,Introduced legislation to block Medicare prior-authorization systems that use artificial intelligence to deny care.,Suzan DelBene (U.S. House Website)
democrats-armedservices.house.gov,Adam Smith,"Appointed Eric Horvitz to the National Security Commission on Artificial Intelligence as House Armed Services leader, showing direct engagement with AI policy",Adam Smith (U.S. House Website)
democrats-financialservices.house.gov,Maxine Waters,Established and led the bipartisan House Financial Services AI Working Group focused on benefits risks bias and responsible financial regulation,Maxine Waters (U.S. House Website)
democrats-foreignaffairs.house.gov,Dina Titus,Original cosponsor of RESTRICT Act to block sales of advanced AI chips to China and impose security requirements on overseas transfers,Dina Titus (U.S. House Website)
democrats-foreignaffairs.house.gov,Jared Moskowitz,Cosponsored RESTRICT Act to block advanced AI chip sales to China and add security requirements for overseas data centers,Jared Moskowitz (U.S. House Website)
democrats-selectcommitteeontheccp.house.gov,Ami Bera,Co-led legislation to block advanced AI chip sales to China without explicit executive and congressional approval,Ami Bera (U.S. House Website)
democrats-selectcommitteeontheccp.house.gov,Raja Krishnamoorthi,Krishnamoorthi + Bera: legislation requiring Congressional approval before sale of advanced AI chips to China — export control focus | Krishnamoorthi + Moolenaar introduce No Adversarial AI Act to bar federal agencies from DeepSeek and CCP-linked AI — China arms race framing | Ranking Member of House Select Committee on CCP — his AI work overwhelmingly framed around US-China competition not domestic safety,Raja Krishnamoorthi (U.S. House Website)
desaulnier.house.gov,Mark DeSaulnier,Current House and campaign materials emphasize ethics transportation and STEM education with no clear AI policy or AI regulation position found after broader search,Mark DeSaulnier (U.S. House Website)
dexter.house.gov,Maxine Dexter,"Passed amendment requiring DOE study of data-center water use and impacts, framing AI infrastructure as requiring resource safeguards for communities",Maxine Dexter (U.S. House Website)
direct.usagm.gov,Cait Conley,As CISA senior adviser said AI-driven election threats require active monitoring and safeguards against foreign influence,
docquery.fec.gov,Makiba Gaines,FEC filing confirms active independent candidacy in VA-02; no AI policy or AI regulation position found,
docquery.fec.gov,Nick Gebo,FEC paperwork exists for an NJ-05 Democratic primary challenge; no AI policy or AI regulation position found,
edwards.house.gov,Chuck Edwards,Official congressional and campaign materials focus Helene recovery veterans and fiscal issues with no substantive AI policy or AI regulation position found after broader search,Chuck Edwards (U.S. House Website)
elections.maryland.gov,George McDermott,Active MD-04 Republican candidate filing reviewed; no AI policy or AI regulation position found,
elections.maryland.gov,Glenn Ivey,Incumbent MD-04 candidacy reviewed; no AI policy or AI regulation position found,
elections.maryland.gov,Jakeya Johnson,Active MD-04 Democratic candidate filing reviewed; no AI policy or AI regulation position found,
elections.maryland.gov,Jonathan White,Active MD-04 Democratic candidate filing reviewed; no AI policy or AI regulation position found,
elections.maryland.gov,Joseph Gomes,Active MD-04 Democratic candidate filing reviewed; no AI policy or AI regulation position found,
elections.maryland.gov,Shavonne Hedgepeth,Active MD-04 Democratic candidate filing reviewed; no AI policy or AI regulation position found,
emmer.house.gov,Tom Emmer,Serves on the House Financial Services subcommittee covering artificial intelligence and pushes a privacy-forward anti-CBDC stance,Tom Emmer (U.S. House Website)
espaillat.house.gov,Adriano Espaillat,Led AI roundtables on equity and access and introduced the Artificial Intelligence Literacy and Inclusion Act to fund AI literacy and workforce development in underserved communities,Adriano Espaillat (U.S. House Website)
estes.house.gov,Ron Estes,Current KS-04 candidacy is clear; no AI policy or AI regulation position found,Ron Estes (U.S. House Website)
fec.gov,Alexander Portelli,FEC filing confirms active NY-19 candidacy with no AI policy or AI regulation position found after broader search,
fec.gov,Alfred Lemmo,FEC filing confirms active Republican candidacy in MI-08 with no AI policy or AI regulation position found,
fec.gov,Angelina Sigala,FEC filing confirms active Democratic candidacy in CA-13 with no AI policy or AI regulation position found,
fec.gov,Bishop Staten,FEC committee filing confirms active independent candidacy in VA-02; no AI policy or AI regulation position found,
fec.gov,Connor Walleck,FEC filings identify Walleck as an active WI-01 Republican challenger with no AI policy or AI regulation position found after broader search,
fec.gov,David Gedert,FEC candidate filing confirms active Libertarian OH-09 candidacy; no AI policy or AI regulation position found,
fec.gov,Dean Pennington,FEC filing confirms active Democratic filing in NH-02 with no AI policy or AI regulation position found after broader search,
fec.gov,Felipe Santos,FEC filing confirms active NJ-07 Democratic candidacy; no AI policy or AI regulation position found,
fec.gov,Gavin Solomon,FEC committee activity and candidate filings indicate an active NY-03 filing with no AI policy or AI regulation position found in the congressional race,
fec.gov,Heather Barton,FEC filing confirms active independent candidacy in CO-03 with no AI policy or AI regulation position found after broader search,
fec.gov,Katy Padilla Stout,TX-23 FEC/general-election listings confirm an active candidacy; no AI policy or AI regulation position found,
fec.gov,Matt Strickler,FEC filing confirms active Democratic candidacy in VA-02; no AI policy or AI regulation position found,
fec.gov,Mike Johnson,FEC filing confirms active GOP filing in FL-07 with no AI policy or AI regulation position found after broader search,
fec.gov,Mike LiPetri,FEC filing confirms active Republican candidacy in NY-03 with no AI policy or AI regulation position found after broader search,
fec.gov,Nicolaus Sleister,FEC filing confirms active Democratic candidacy in VA-02; no AI policy or AI regulation position found,
fec.gov,Richard Morckel,FEC filing and voter-guide materials confirm active OH-13 candidacy with no AI policy or AI regulation position found,
fec.gov,Sam Buccola,FEC filing confirms active Democratic candidacy in NJ-09 with no AI policy or AI regulation position found after broader search,
fec.gov,Sean Sublette,FEC filing confirms active Democratic candidacy in VA-01 with no AI policy or AI regulation position found after broader search,
fec.gov,William Matthews,FEC filing confirms active Republican candidacy in VA-02; no AI policy or AI regulation position found,
fedorchak.house.gov,Julie Fedorchak,"Said the U.S. must take the handcuffs off the AI industry, launched an AI-and-energy working group centered on powering AI dominance, and emphasized deregulation over safety guardrails",Julie Fedorchak (U.S. House Website)
feenstra.house.gov,Randy Feenstra,"Led Farm Tech Act (H.R. 6806, Dec 2023): bipartisan bill requiring USDA certification program for agricultural AI software based on NIST AI Risk Management Framework, to ""protect farmers from faulty or misleading technologies""; voted YES on TAKE IT DOWN Act (federal deepfake porn ban), stating ""we must do a better job of removing these false depictions online""",Randy Feenstra (U.S. House Website)
financialservices.house.gov,Bryan Steil,Said fintech and AI products should have clear legal pathways and strong consumer protections in committee work,Bryan Steil (U.S. House Website)
financialservices.house.gov,French Hill,As Financial Services chair he led hearings on AI in finance emphasizing innovation with consumer protections and risk based regulation,French Hill (U.S. House Website)
finstad.house.gov,Brad Finstad,Backed aviation legislation requiring AI use in FAA and DOT drone waiver determinations while emphasizing safety and growth,Brad Finstad (U.S. House Website)
fischbach.house.gov,Michelle Fischbach,No AI policy or AI regulation position found,Michelle Fischbach (U.S. House Website)
fitzpatrick.house.gov,Brian Fitzpatrick,Introduced bipartisan AI Ads Act to prohibit fraudulent AI-generated political campaign misrepresentation | Linked AI and foreign influence risks in election security legislation and broader intelligence oversight work,Brian Fitzpatrick (U.S. House Website)
flood.house.gov,Mike Flood,Hosted Flyover Fintech conference panels on AI and banking and regularly frames AI through innovation and fintech policy rather than safety guardrails,Mike Flood (U.S. House Website)
fong.house.gov,Vince Fong,Also pushed a federal autonomous trucking framework and broader smart agriculture innovation agenda rather than stronger AI guardrails | Introduced the NSF AI Education Act of 2025 to expand AI scholarships research and workforce training,Vince Fong (U.S. House Website)
foreignaffairs.house.gov,Bill Huizenga,Chaired House hearing on export controls and the AI arms race with China as part of national-security oversight,Bill Huizenga (U.S. House Website)
foster.house.gov,Bill Foster,Introduced the Chip Security Act to stop smuggling of advanced AI chips and argued Congress must keep powerful AI technology out of the wrong hands | Led a bipartisan effort calling for action on a potential AI bubble and for federal monitoring of systemic financial risks from concentrated AI investment,Bill Foster (U.S. House Website)
foster.house.gov,Bill Huizenga,Co-led Chip Security Act to stop smuggling of advanced AI chips to unauthorized countries and end users,Bill Huizenga (U.S. House Website)
foushee.house.gov,Deborah Ross,Hosted AI roundtable with NIST AI Safety Institute officials and local industry leaders focused on federal guardrails for safe secure and trustworthy AI development,Deborah Ross (U.S. House Website)
foushee.house.gov,Valerie Foushee,"Opposed federal preemption of state AI laws and called for a federal framework that protects rights privacy and jobs rather than bulldozing safeguards | Said Congress must enact meaningful AI policies to protect jobs and ensure responsible development, and released a report pressing industry for transparency around AI-driven layoffs",Valerie Foushee (U.S. House Website)
foxx.house.gov,Virginia Foxx,Current NC-05 general-election candidacy is clear; no AI policy or AI regulation position found,Virginia Foxx (U.S. House Website)
friedman.house.gov,Laura Friedman,Led House Democrats opposing the federal AI moratorium and argued states need room to enforce AI safeguards and consumer protections,Laura Friedman (U.S. House Website)
fulcher.house.gov,Russ Fulcher,Introduced legislation requiring disclosure when smart appliances are equipped with hidden cameras or microphones and separately questioned how generative AI should be treated under Section 230,Russ Fulcher (U.S. House Website)
